round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
94,28,probing,1.0451946249959292,5437,ExitStatus.FEASIBLE,10,True,10,VA,RST,AP,False,True,TableHybrid,MDD,True,Last,Rand
95,29,probing,1.0370949159987504,5816,ExitStatus.FEASIBLE,1,True,0,STR1N,RST,SAC3,True,False,Matrix2D,TableHybrid,True,OccsR,Impact
96,30,probing,1.0362484169891104,,ExitStatus.UNKNOWN,1,True,5,STR1,RST,AC,False,False,Tries,Table,True,Conflicts,Rand
97,31,probing,1.0453973330004374,6137,ExitStatus.FEASIBLE,1000,True,2,CMDDO,RST,AP,True,True,Bits,Bits,False,Vals,Impact
98,32,probing,1.0504987080057617,5906,ExitStatus.FEASIBLE,100,False,0,STR2N,NO,AP,True,True,TableHybrid,Matrix3D,False,Rand,Impact
99,33,probing,1.044297042011749,5635,ExitStatus.FEASIBLE,100,False,0,STR2N,RST,AP,False,False,Matrix2D,Tries,True,Median,RunRobin
100,34,probing,1.043839999998454,5551,ExitStatus.FEASIBLE,1,True,5,V,NO,AC,True,False,Bits,MDD,False,Last,PickOnDom
101,35,probing,1.0113028749910882,,ExitStatus.UNKNOWN,10,False,0,STR3,RST,SAC3,True,True,TableHybrid,MDD,False,Conflicts,Rand
102,36,probing,1.0446474999916973,5099,ExitStatus.FEASIBLE,10,True,2,STR0,RST,AC,False,False,TableHybrid,Matrix2D,False,OccsR,Wdeg
103,37,probing,1.048417583006085,5610,ExitStatus.FEASIBLE,10,False,10,CT,NO,AP,False,True,TableHybrid,Matrix3D,False,First,Wdeg
104,2,probing,0.6603564159886446,0,ExitStatus.FEASIBLE,1000,False,0,CMDDO,NO,GT,True,True,TableHybrid,Matrix3D,False,RunRobin,Wdeg
105,3,probing,0.7660404159978498,6603,ExitStatus.FEASIBLE,1,False,2,STR2N,RST,BT,True,False,MDD,TableHybrid,True,Rand,WdegOnDom
